id;start_date;end_date;language
1;2021-03-08T08:17:29;2021-03-08T06:07:44;SPANISH
2;2021-03-07T13:07:40;2021-03-08T08:12:05;SPANISH
3;2021-03-08T04:02:59;2021-03-07T14:37:08;FRENCH
4;2021-03-07T19:20:30;2021-03-08T06:51:56;FRENCH
5;2021-03-08T04:50:48;2021-03-08T09:37:47;FRENCH
6;2021-03-07T22:43:09;2021-03-08T10:51:23;FRENCH
7;2021-03-08T00:28:29;2021-03-07T18:19:20;FRENCH
8;2021-03-07T23:24:42;2021-03-08T09:40:50;SPANISH
9;2021-03-07T22:05:51;2021-03-07T18:47:14;SPANISH
10;2021-03-08T06:17:55;2021-03-07T16:52:25;SPANISH
